Id_registro,Fecha,Proyecto,Area,Actividad,Manejo,Clase,Especie,Nombre_comun,Abundancia,Estado,Reubicado
1,2023-01-01,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Mammalia,Dasypus novemcinctus,Armadillo,2,vivo,
2,2023-01-01,Proyecto Solar Alpha,Área 2,tránsito maquinaria,ahuyentamiento,Reptilia,Anolis auratus,Camaleoncito,4,vivo,
3,2023-01-01,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,
4,2023-01-01,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Aves,Ardea alba,Garza blanca,4,vivo,
5,2023-01-01,Proyecto Solar Alpha,Área 3,inspección,rescate,Reptilia,Erythrolamprus bizona,Culebra,3,vivo,si
6,2023-01-02,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Turdus ignobilis,Mirla,2,vivo,
7,2023-01-02,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Ardea alba,Garza blanca,3,vivo,
8,2023-01-02,Proyecto Solar Alpha,Área 3,inspección,rescate,Reptilia,Chelonoidis carbonaria,Morrocoy,2,vivo,si
9,2023-01-02,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Reptilia,Chelonoidis carbonaria,Morrocoy,3,vivo,
10,2023-01-03,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Reptilia,Crotalus durissus,Cascabel,3,vivo,
11,2023-01-03,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Ardea alba,Garza blanca,2,vivo,
12,2023-01-03,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,
13,2023-01-03,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Boa constrictor,Boa,4,vivo,
14,2023-01-04,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
15,2023-01-04,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Reptilia,Boa constrictor,Boa,3,vivo,
16,2023-01-04,Proyecto Solar Alpha,Área 1,tránsito maquinaria,rescate,Amphibia,Scinax ruber,Ranita,3,vivo,si
17,2023-01-04,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Mammalia,Dasypus novemcinctus,Armadillo,3,vivo,
18,2023-01-05,Proyecto Solar Alpha,Área 3,tránsito maquinaria,rescate,Reptilia,Crotalus durissus,Cascabel,2,vivo,si
19,2023-01-05,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Aves,Ardea alba,Garza blanca,4,vivo,
20,2023-01-05,Proyecto Solar Alpha,Área 3,tránsito maquinaria,ahuyentamiento,Aves,Ardea alba,Garza blanca,4,vivo,
21,2023-01-05,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,
22,2023-01-06,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Aves,Ardea alba,Garza blanca,3,vivo,
23,2023-01-06,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Reptilia,Boa constrictor,Boa,2,vivo,
24,2023-01-06,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Reptilia,Iguana iguana,Iguana,2,vivo,
25,2023-01-06,Proyecto Solar Alpha,Área 2,obra civil,rescate,Amphibia,Hypsiboas crepitans,Rana arborícola,2,vivo,si
26,2023-01-07,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Mammalia,Procyon cancrivorus,Mapache,2,vivo,
27,2023-01-07,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Aves,Milvago chimachima,Caracara,4,vivo,
28,2023-01-07,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Reptilia,Crotalus durissus,Cascabel,3,vivo,
29,2023-01-07,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,3,vivo,
30,2023-01-08,Proyecto Solar Alpha,Área 1,obra civil,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,2,vivo,
31,2023-01-08,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Reptilia,Chelonoidis carbonaria,Morrocoy,4,vivo,
32,2023-01-08,Proyecto Solar Alpha,Área 2,tránsito maquinaria,ahuyentamiento,Reptilia,Chelonoidis carbonaria,Morrocoy,4,vivo,
33,2023-01-08,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Coragyps atratus,Chulo,4,vivo,
34,2023-01-09,Proyecto Solar Alpha,Área 2,tránsito maquinaria,ahuyentamiento,Reptilia,Crotalus durissus,Cascabel,2,vivo,
35,2023-01-09,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Mammalia,Zygodontomys brevicauda,Ratón de caña,4,vivo,
36,2023-01-09,Proyecto Solar Alpha,Área 3,rocería,rescate,Amphibia,Scinax ruber,Ranita,3,vivo,si
37,2023-01-09,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Aves,Ardea alba,Garza blanca,3,vivo,
38,2023-01-09,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Erythrolamprus bizona,Culebra,3,vivo,
39,2023-01-10,Proyecto Solar Alpha,Área 3,rocería,rescate,Reptilia,Boa constrictor,Boa,3,vivo,si
40,2023-01-10,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Chelonoidis carbonaria,Morrocoy,3,vivo,
41,2023-01-10,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Mammalia,Zygodontomys brevicauda,Ratón de caña,4,vivo,
42,2023-01-10,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Aves,Ardea alba,Garza blanca,2,vivo,
43,2023-01-11,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Aves,Coragyps atratus,Chulo,3,vivo,
44,2023-01-11,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Aves,Ardea alba,Garza blanca,2,vivo,
45,2023-01-11,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Aves,Ardea alba,Garza blanca,4,vivo,
46,2023-01-11,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Aves,Milvago chimachima,Caracara,4,vivo,
47,2023-01-12,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Reptilia,Crotalus durissus,Cascabel,3,vivo,
48,2023-01-12,Proyecto Solar Alpha,Área 1,tránsito maquinaria,ahuyentamiento,Aves,Milvago chimachima,Caracara,2,vivo,
49,2023-01-12,Proyecto Solar Alpha,Área 3,obra civil,ahuyentamiento,Aves,Turdus ignobilis,Mirla,3,vivo,
50,2023-01-12,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Aves,Ardea alba,Garza blanca,2,vivo,
51,2023-01-13,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Reptilia,Erythrolamprus bizona,Culebra,4,vivo,
52,2023-01-13,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,4,vivo,
53,2023-01-13,Proyecto Solar Alpha,Área 1,inspección,ahuyentamiento,Reptilia,Erythrolamprus bizona,Culebra,2,vivo,
54,2023-01-13,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Reptilia,Chelonoidis carbonaria,Morrocoy,3,vivo,
55,2023-01-14,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Aves,Ardea alba,Garza blanca,3,vivo,
56,2023-01-14,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,4,vivo,
57,2023-01-14,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Mammalia,Didelphis marsupialis,Zarigüeya,2,vivo,
58,2023-01-14,Proyecto Solar Alpha,Área 1,tránsito maquinaria,rescate,Reptilia,Erythrolamprus bizona,Culebra,2,vivo,si
59,2023-01-15,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Aves,Turdus ignobilis,Mirla,4,vivo,
60,2023-01-15,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Aves,Turdus ignobilis,Mirla,2,vivo,
61,2023-01-15,Proyecto Solar Alpha,Área 2,tránsito maquinaria,ahuyentamiento,Reptilia,Erythrolamprus bizona,Culebra,2,vivo,
62,2023-01-15,Proyecto Solar Alpha,Área 3,rocería,ahuyentamiento,Aves,Coragyps atratus,Chulo,2,vivo,
63,2023-01-16,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Aves,Milvago chimachima,Caracara,3,vivo,
64,2023-01-16,Proyecto Solar Alpha,Área 2,obra civil,ahuyentamiento,Aves,Turdus ignobilis,Mirla,4,vivo,
65,2023-01-16,Proyecto Solar Alpha,Área 3,inspección,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,3,vivo,
66,2023-01-16,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,4,vivo,
67,2023-01-17,Proyecto Solar Alpha,Área 2,inspección,ahuyentamiento,Aves,Ardea alba,Garza blanca,4,vivo,
68,2023-01-17,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Reptilia,Iguana iguana,Iguana,3,vivo,
69,2023-01-17,Proyecto Solar Alpha,Área 1,obra civil,rescate,Amphibia,Hypsiboas crepitans,Rana arborícola,3,vivo,si
70,2023-01-17,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Reptilia,Boa constrictor,Boa,2,vivo,
71,2023-01-17,Proyecto Solar Alpha,Área 1,rocería,ahuyentamiento,Aves,Columbina talpacoti,Torcaza,3,vivo,
72,2023-01-18,Proyecto Solar Alpha,Área 3,inspección,rescate,Amphibia,Leptodactylus fragilis,Rana,2,vivo,si
73,2023-01-18,Proyecto Solar Alpha,Área 2,rocería,ahuyentamiento,Aves,Coragyps atratus,Chulo,2,vivo,
